12131A,12132A,12132B,12132D,12132E,12141A,12141C,12141H,12142A,12142B,12142D,12155A,12158A,12160E,12160F,12161A,12161B,12161D,12168,12274A,12274B,12274C,12142M,12143N,12151N,12152A,12152B,12152C,12153D,12153F,12153G,12153H,12153I,12139A,12142G thr,12143A 3rd,12155C,12156A,12156B,12277A,12277B,12281a,12281b,12281G,12281r,12281S,12284A,12284B,12285*1,12286*1,12287A,12287N,12292A,12292B,12292C,12292D,12292N,12293,12296A,12296B,12297A,12297B,12297C,12298B,12298b2,12298c,12298d,12302,12279d,12279G,12279N,12279N414,12279str,12280A,12280B,12280N,12279c
70.10180165,,,,,,,,,,,78.45955994,,,,,,,,,,,,,94.12026486,,,,,,,,,,,,66.64556118,,98.64667457,,,97.71258495,60.45039738,,,,,,100,77.37414182,,,,90.09716378,,,,,,,,,89.86893044,,,,,,80.80083738,,,,,90.30910692,,,88.61275765
70.67050751,,,,,,,,,,,78.91761694,,,,,,,,,,,,,99.52219536,,,,,,,,,,,,67.16990505,,100,,,98.40215608,61.19629562,,,,,,,78.21267229,,,,90.54199683,,,,,,,,,91.06892206,,,,,,81.53428171,,,,,91.18127083,,,89.5733818
71.23921337,,,,,,,,,,,79.43104096,,,,,,,,,,,,,100,,,,,,,,,,,,67.69424891,,,,,98.6668854,62.43315017,,,,,,,79.3695299,,,,92.50177605,,,,,,,,,91.8980994,,,,,,82.3725038,,,,,91.96776695,,,90.44906591
71.80791923,,,,,,,,,,,80.63979827,,,,,,,,,,,,,,,,,,,,,,,,,68.21859278,,,,,99.4501992,62.99479494,,,,,,,80.11645092,,,,93.08902126,,,,,,,,,92.78020295,,,,,,83.31319854,,,,,92.95624134,,,91.11488622
72.37662509,,,,,,,,,,,81.20156341,,,,,,,,,,,,,,,,,,,,,,,,,68.74293664,,,,,100,63.35808716,,,,,,,82.61862586,,,,94.05989398,,,,,,,,,93.22125473,,,,,,84.6957411,,,,,93.80654897,,,91.68612575
72.94533095,,,,,,,,,,,81.6714575,,,,,,,,,,,,,,,,,,,,,,,,,69.26728051,,,,,,64.22179947,,,,,,,83.20224307,,,,96.71993005,,,,,,,,,94.43414711,,,,,,86.36935628,,,,,94.35570141,,,92.70094104
73.51403681,,,,,,,,,,,82.13890781,,,,,,,,,,,,,,,,,,,,,,,,,69.79162437,,,,,,67.83907757,,,,,,,84.12944814,,,,97.62511613,,,,,,,,,95.43334991,,,,,,87.20757837,,,,,95.64577032,,,93.06312861
74.08274267,,,,,,,,,,,83.41150901,,,,,,,,,,,,,,,,,,,,,,,,,70.31596824,,,,,,68.12878429,,,,,,,85.23515539,,,,98.17159408,,,,,,,,,96.50532625,,,,,,87.62668941,,,,,96.63424471,,,94.75086792
74.65144853,,,,,,,,,,,84.16098741,,,,,,,,,,,,,,,,,,,,,,,,,70.8403121,,,,,,69.24598998,,,,,,,85.96258058,,,,99.53975627,,,,,,,,,96.93799804,,,,,,88.88402254,,,,,97.89729531,,,95.563532
75.2201544,,,,,,,,,,,84.60056329,,,,,,,,,,,,,,,,,,,,,,,,,71.36465597,,,,,,70.36532017,,,,,,,86.94334678,,,,100,,,,,,,,,97.28852394,,,,,,89.82702239,,,,,99.21526117,,,96.88279188
75.78886026,,,,,,,,,,,86.5727744,,,,,,,,,,,,,,,,,,,,,,,,,71.88899983,,,,,,70.80654351,,,,,,,88.50144122,,,,,,,,,,,,,98.54066994,,,,,,91.12270419,,,,,99.65458312,,,97.97727017
76.35756612,,,,,,,,,,,88.32603762,,,,,,,,,,,,,,,,,,,,,,,,,72.4133437,,,,,,73.22810541,,,,,,,89.06902154,,,,,,,,,,,,,98.79791338,,,,,,91.96092628,,,,,100,,,98.97666026
76.92627198,,,,,,,,,,,88.65426853,,,,,,,,,,,,,,,,,,,,,,,,,72.93768756,,,,,,74.40421813,,,,,,,89.60557623,,,,,,,,,,,,,99.16541978,,,,,,92.57230451,,,,,,,,99.37487378
80.31947718,,,,,,,,,,,90.23020458,,,,,,,,,,,,,,,,,,,,,,,,,73.46203143,,,,,,74.99512327,,,,,,,90.49462816,,,,,,,,,,,,,100,,,,,,93.94091163,,,,,,,,100
80.7855927,,,,,,,,,,,90.77264854,,,,,,,,,,,,,,,,,,,,,,,,,73.98637529,,,,,,76.57972246,,,,,,,93.01650857,,,,,,,,,,,,,,,,,,,95.00733968,,,,,,,,
81.56467342,,,,,,,,,,,91.29012008,,,,,,,,,,,,,,,,,,,,,,,,,74.51071916,,,,,,77.43580582,,,,,,,93.79183481,,,,,,,,,,,,,,,,,,,95.51708349,,,,,,,,
82.88230471,,,,,,,,,,,92.25442249,,,,,,,,,,,,,,,,,,,,,,,,,75.03506302,,,,,,78.01521926,,,,,,,94.4890729,,,,,,,,,,,,,,,,,,,96.24424115,,,,,,,,
83.83028835,,,,,,,,,,,92.73432083,,,,,,,,,,,,,,,,,,,,,,,,,75.55940689,,,,,,78.69120161,,,,,,,95.43849903,,,,,,,,,,,,,,,,,,,97.13097534,,,,,,,,
84.40586428,,,,,,,,,,,93.75406661,,,,,,,,,,,,,,,,,,,,,,,,,76.08375075,,,,,,80.38782073,,,,,,,95.69362193,,,,,,,,,,,,,,,,,,,97.96835921,,,,,,,,
84.67513956,,,,,,,,,,,94.2439692,,,,,,,,,,,,,,,,,,,,,,,,,76.60809462,,,,,,81.02826572,,,,,,,100,,,,,,,,,,,,,,,,,,,99.08969081,,,,,,,,
86.67343146,,,,,,,,,,,94.90478402,,,,,,,,,,,,,,,,,,,,,,,,,77.13243848,,,,,,81.81259838,,,,,,,,,,,,,,,,,,,,,,,,,,99.52127041,,,,,,,,
87.94575719,,,,,,,,,,,95.35405867,,,,,,,,,,,,,,,,,,,,,,,,,77.65678235,,,,,,82.35618476,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,
88.9569532,,,,,,,,,,,96.51195469,,,,,,,,,,,,,,,,,,,,,,,,,78.18112621,,,,,,82.85052099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.09802832,,,,,,,,,,,97.3399397,,,,,,,,,,,,,,,,,,,,,,,,,78.70547008,,,,,,83.87724161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.20827142,,,,,,,,,,,98.12790772,,,,,,,,,,,,,,,,,,,,,,,,,79.22981394,,,,,,84.55322395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.17943383,,,,,,,,,,,98.56374156,,,,,,,,,,,,,,,,,,,,,,,,,79.75415781,,,,,,85.29207266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.23054991,,,,,,,,,,,98.86341073,,,,,,,,,,,,,,,,,,,,,,,,,80.27850167,,,,,,86.15211534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.15301972,,,,,,,,,,,99.55072535,,,,,,,,,,,,,,,,,,,,,,,,,80.80284554,,,,,,86.405995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.9344566,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,81.3271894,,,,,,87.89547382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.85153327,,,,,,88.08861163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.37587713,,,,,,88.6263073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.900221,,,,,,89.88962174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.42456486,,,,,,90.63629253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.75870425,,,,,,91.43568994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.09738278,,,,,,93.12873601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.07374132,,,,,,93.86690873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.3547412,,,,,,95.51978214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.02006988,,,,,,96.32671193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.68539855,,,,,,98.10589746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.35072723,,,,,,98.588742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0160559,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.68138458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.34671325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.01204193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6773706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.34269928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.00802795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.67335663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.3386853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.00401398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.66934265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.33467133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
